path,category,confidence,margin,uncertain,🌌 Starlit Wonders,🌿 Wild Horizons,⏳ Time in Motion,🌆 Urban Glow,🌊 Ocean Whispers,🏞️ Liquid Cascades
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/alfred-nicholas-gardens.jpg,🌿 Wild Horizons,0.8185,0.6421,False,0.0015,0.8185,0.0035,0.0,0.0,0.1764
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/alfred-nicholson-gardens.jpg,🌿 Wild Horizons,0.9543,0.9265,False,0.0011,0.9543,0.0168,0.0,0.0,0.0278
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/aura-australia-airey-inlet-lighthouse.jpg,🌌 Starlit Wonders,0.9924,0.9881,False,0.9924,0.0,0.0032,0.0043,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/aura-australia-airey-inlet-watching.jpg,🌌 Starlit Wonders,0.9968,0.9942,False,0.9968,0.0,0.0005,0.0026,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/aura-australia-lorne-great-ocean-road.jpg,🌌 Starlit Wonders,0.9857,0.9744,False,0.9857,0.0,0.0113,0.0021,0.0009,0.0001
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/aura-australia-lorne-teddys-lookout.jpg,🌌 Starlit Wonders,0.9889,0.9832,False,0.9889,0.0003,0.0051,0.0057,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/ballarat-boat-house.jpg,🌊 Ocean Whispers,0.4817,0.178,False,0.0562,0.0098,0.1398,0.3037,0.4817,0.0089
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/balnarring-beach-pastel.jpg,🌊 Ocean Whispers,0.9361,0.8721,False,0.0,0.0,0.0639,0.0,0.9361,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/balnarring-beach-wooden-wall.jpg,🌊 Ocean Whispers,0.9892,0.9787,False,0.0002,0.0,0.0105,0.0,0.9892,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/balnarring-beach.jpg,🌊 Ocean Whispers,0.983,0.9661,False,0.0002,0.0,0.0168,0.0,0.983,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/beauchamp-falls.jpg,🏞️ Liquid Cascades,0.9998,0.9995,False,0.0,0.0002,0.0,0.0,0.0,0.9998
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/bitola-forty-holy-martyrs-krkardash.jpg,🌆 Urban Glow,0.9992,0.9987,False,0.0004,0.0002,0.0002,0.9992,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/bitola-from-above.jpg,🌿 Wild Horizons,0.9172,0.8715,False,0.0015,0.9172,0.0457,0.0355,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/blnaring-beach.jpg,🌊 Ocean Whispers,0.9983,0.9967,False,0.0,0.0,0.0016,0.0,0.9983,0.0001
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/blue-both-house-perth.jpg,⏳ Time in Motion,0.6545,0.4293,False,0.0579,0.0006,0.6545,0.2252,0.061,0.0008
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/boat-and-sunrise.jpg,🌊 Ocean Whispers,0.9986,0.9979,False,0.0007,0.0,0.0005,0.0003,0.9986,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/bridge-water-bay.jpg,🌊 Ocean Whispers,0.8181,0.6376,False,0.0007,0.0001,0.1805,0.0,0.8181,0.0006
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/brighton-beach.jpg,🌊 Ocean Whispers,0.4318,0.1297,False,0.0398,0.0179,0.302,0.2083,0.4318,0.0001
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/broken-jetty-at-kororoit-creek.jpg,⏳ Time in Motion,0.8014,0.6591,False,0.0451,0.0076,0.8014,0.0021,0.1423,0.0015
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/cadylac-canyon.jpg,🌊 Ocean Whispers,0.7934,0.5946,False,0.0001,0.0,0.0077,0.0,0.7934,0.1987
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/camel-rock-bermagui-nsw.jpg,🌌 Starlit Wonders,0.9824,0.9649,False,0.9824,0.0,0.0175,0.0,0.0,0.0
/Users/Suv4o/Development/Blog-Projects/OpenClip/images/camp-schanck-lighthouse.jpg,🌌 Starlit Wonders,0.9979,0.9957,False,0.9979,0.0,0.0021,0.0,0.0,0.0
